,year,district,age_group,NO2,PM2_5,O3,SO2,asthma_hosp
494,2016,403,0-4y,18.24,7.22,33.44,0.27,40
495,2016,403,5-17y,18.24,7.22,33.44,0.27,39
510,2016,404,0-4y,16.43,6.88,32.99,0.27,7
511,2016,404,5-17y,16.43,6.88,32.99,0.27,0
526,2016,405,0-4y,18.65,7.56,33.48,0.23,51
527,2016,405,5-17y,18.65,7.56,33.48,0.23,46
542,2016,406,0-4y,18.09,7.03,33.16,0.26,28
543,2016,406,5-17y,18.09,7.03,33.16,0.26,23
558,2016,407,0-4y,17.8,7.02,34.34,0.23,85
559,2016,407,5-17y,17.8,7.02,34.34,0.23,61
574,2016,408,0-4y,17.56,6.99,33.86,0.25,118
575,2016,408,5-17y,17.56,6.99,33.86,0.25,121
590,2016,409,0-4y,16.16,6.51,34.3,0.26,62
591,2016,409,5-17y,16.16,6.51,34.3,0.26,53
606,2016,410,0-4y,11.72,5.98,38.18,0.2,36
607,2016,410,5-17y,11.72,5.98,38.18,0.2,37
622,2016,501,0-4y,17.47,7.3,33.42,0.12,34
623,2016,501,5-17y,17.47,7.3,33.42,0.12,49
638,2016,502,0-4y,14.93,6.8,34.18,0.13,41
639,2016,502,5-17y,14.93,6.8,34.18,0.13,31
654,2016,503,0-4y,14.11,7.1,34.68,0.12,12
655,2016,503,5-17y,14.11,7.1,34.68,0.12,0
670,2016,504,0-4y,11.52,6.59,36.17,0.11,24
671,2016,504,5-17y,11.52,6.59,36.17,0.11,12
