;;2005;;;2006;;;2007;;;2008;;;2009;;;2010;;;2011;;;2012;;;2013;;;2014;;;2015;;;2016;;
;Rank / Location;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years;0 to 4 years;5 to 17 Years;0 to 17 Years
31;Northeast Bronx(102);131;145;276;155;134;289;159;132;291;184;145;329;155;127;282;152;133;285;152;151;303;163;157;320;147;172;319;138;186;324;108;160;268;126;139;265
32;Pelham - Throgs Neck(104);283;240;523;306;254;560;258;222;480;292;243;535;329;259;588;262;229;491;286;266;552;321;288;609;277;238;515;269;252;521;258;265;523;219;222;441
33;Port Richmond(501);41;35;76;46;35;81;41;33;74;32;19;51;41;39;80;27;29;56;35;30;65;35;44;79;30;34;64;24;43;67;31;37;68;34;49;83
34;Ridgewood - Forest Hills(405);99;72;171;105;67;172;111;86;197;106;65;171;92;65;157;81;79;160;90;59;149;71;75;146;46;41;87;65;44;109;56;39;95;51;46;97
35;Rockaway(410);123;108;231;108;104;212;93;100;193;108;87;195;89;96;185;91;86;177;64;68;132;42;44;86;46;40;86;50;50;100;40;46;86;36;37;73
36;South Beach - Tottenville(504);26;22;48;22;26;48;19;13;32;21;20;41;22;25;47;17;26;43;13;23;36;15;23;38;17;22;39;21;19;40;11;27;38;24;12;36
37;Southeast Queens(409);108;82;190;121;83;204;81;82;163;100;68;168;121;103;224;88;85;173;88;69;157;84;92;176;74;84;158;63;99;162;78;57;135;62;53;115
38;Southwest Queens(407);132;85;217;172;99;271;164;92;256;155;100;255;178;91;269;143;83;226;105;65;170;133;85;218;101;80;181;109;100;209;104;79;183;85;61;146
39;Stapleton - St George(502);48;43;91;26;51;77;27;40;67;45;33;78;43;35;78;37;48;85;30;33;63;39;26;65;35;42;77;36;44;80;28;31;59;41;31;72
40;Sunset Park(205);41;15;56;36;22;58;41;26;67;47;29;76;34;28;62;37;19;56;39;25;64;27;30;57;25;38;63;30;24;54;17;20;37;18;15;33
41;Union Square - Lower East Side(309);50;56;106;71;58;129;50;59;109;50;49;99;44;36;80;41;18;59;41;26;67;45;32;77;32;35;67;26;31;57;32;35;67;33;40;73
42;Upper East Side(305);48;15;63;40;12;52;44;14;58;29;13;42;32;17;49;28;20;48;33;18;51;35;18;53;28;13;41;18;22;40;22;20;42;24;15;39
43;Upper West Side(304);63;44;107;57;49;106;51;40;91;38;32;70;49;38;87;47;30;77;35;40;75;28;29;57;37;19;56;36;28;64;33;18;51;28;15;43
44;Washington Heights - Inwood(301);83;120;203;101;101;202;69;83;152;67;82;149;85;83;168;97;79;176;87;77;164;86;74;160;76;85;161;105;112;217;83;92;175;99;111;210
45;West Queens(402);163;135;298;150;129;279;152;115;267;149;112;261;125;100;225;110;87;197;111;76;187;143;91;234;103;99;202;120;129;249;85;92;177;100;99;199
46;Williamsburg - Bushwick(211);280;323;603;295;254;549;243;233;476;258;241;499;262;241;503;187;215;402;181;206;387;166;221;387;124;168;292;135;157;292;96;123;219;114;126;240
47;Willowbrook(503);17;17;34;22;17;39;19;15;34;9;14;23;17;18;35;12;0;12;8;10;18;14;0;14;12;0;12;11;0;11;12;0;12;12;0;12
